Name: 深圳卫视, URL: http://118.81.186.173:8085/rtp/226.0.2.47:8288, Date: 2024-10-07, Resolution: None, Response Time: 0 ms
Name: 深圳卫视, URL: http://171.116.226.246:8082/rtp/226.0.2.47:8288, Date: 2024-10-03, Resolution: None, Response Time: 25 ms
Name: 深圳卫视, URL: http://171.118.123.185:8083/rtp/226.0.2.47:8288, Date: 2024-10-08, Resolution: None, Response Time: 83 ms
Name: 深圳卫视, URL: http://171.116.226.246:8084/rtp/226.0.2.47:8288, Date: 2024-10-03, Resolution: None, Response Time: 106 ms
Name: 深圳卫视, URL: http://171.116.226.246:8084/rtp/226.0.2.47:8288, Date: 2024-10-03, Resolution: None, Response Time: 106 ms
Name: 深圳卫视, URL: http://183.188.229.22:6001/rtp/226.0.2.47:8288, Date: 2024-10-06, Resolution: None, Response Time: 133 ms
Name: 深圳卫视, URL: http://61.240.37.36:8085/rtp/226.0.2.47:8288, Date: 2024-10-07, Resolution: None, Response Time: 145 ms
Name: 深圳卫视, URL: http://119.84.194.73:7777/rtp/235.254.198.31:1400, Date: 2024-10-09, Resolution: None, Response Time: 164 ms
Name: 深圳卫视, URL: http://122.238.174.242:4022/rtp/233.50.201.45:5140, Date: 2024-10-08, Resolution: None, Response Time: 192 ms
Name: 深圳卫视, URL: http://115.230.188.146:9999/rtp/233.50.201.45:5140, Date: 2024-10-04, Resolution: None, Response Time: 194 ms
Name: 深圳卫视, URL: http://115.230.188.146:9999/rtp/233.50.201.45:5140, Date: 2024-10-04, Resolution: None, Response Time: 194 ms
Name: 深圳卫视, URL: http://115.221.91.101:8888/rtp/233.50.201.45:5140, Date: 2024-10-09, Resolution: None, Response Time: 214 ms
Name: 深圳卫视, URL: http://171.125.90.130:6000/rtp/226.0.2.47:8288, Date: 2024-09-30, Resolution: None, Response Time: 220 ms
Name: 深圳卫视, URL: http://171.125.90.130:6000/rtp/226.0.2.47:8288, Date: 2024-09-30, Resolution: None, Response Time: 220 ms
